well_id,date,depth_m,flow_rate_m3h,ph,iron_mg_l,hardness_meq_l,tds_mg_l
149,2026-01-31,127.7,3.93,7.64,3.17,16.125,558.25
120,2025-05-10,109.8,4.0,7.57,0.53,7.9,941.5
148,2026-07-18,92.8,5.11,6.68,1.59,10.68,611.0
125,2026-02-04,73.1,4.66,7.45,0.71,11.405,660.75
122,2025-12-31,135.3,6.43,7.36,0.38,15.665000000000001,978.25
113,2025-11-10,77.1,4.49,7.22,0.27,7.285,731.75
119,2023-05-02,128.0,5.76,7.15,0.18,14.8,870.0
149,2024-04-11,82.7,4.96,7.16,1.15,10.555,826.75
136,2026-05-23,75.2,5.4,7.61,0.39,8.93,752.0
112,2023-11-27,85.5,4.65,7.49,0.57,,662.75
141,2023-03-29,66.2,6.06,7.22,0.54,12.23,640.5
119,2026-01-28,119.7,6.08,6.45,0.69,9.245000000000001,831.25
112,2025-05-21,90.3,5.69,7.45,1.61,8.995000000000001,591.75
109,2023-05-11,57.9,5.91,7.56,3.16,7.215,793.75
107,2025-02-08,137.9,,8.35,0.42,15.865000000000002,887.75
128,2023-12-10,76.1,5.48,7.74,1.41,11.184999999999999,701.25
114,2025-03-16,95.2,6.87,6.25,1.16,13.129999999999999,917.0
131,2024-01-21,138.8,5.74,7.24,0.68,10.940000000000001,829.0
119,2026-04-30,104.9,3.45,8.11,,12.245000000000001,735.25
147,2025-08-13,44.0,4.93,7.51,0.18,8.77,537.0
116,2023-10-04,142.8,,7.36,0.09,15.8,908.0
105,2026-03-30,105.3,3.86,7.65,1.54,14.515,809.25
135,2024-04-04,70.2,2.96,6.89,0.46,5.61,575.5
112,2023-01-22,46.7,4.53,7.44,1.5,,589.75
125,2023-09-10,125.3,3.89,7.07,1.79,,714.25
121,2025-01-17,104.4,4.98,7.19,0.05,11.61,655.0
136,2025-05-06,94.0,2.61,7.61,1.72,9.0,476.0
123,2024-04-19,137.3,5.85,6.74,0.48,11.315000000000001,808.25
116,2025-12-18,124.6,4.05,7.84,0.57,11.05,556.5
139,2024-05-25,48.2,6.49,6.99,0.79,9.379999999999999,551.5
145,2024-11-30,67.4,4.58,7.33,2.09,8.040000000000001,576.5
142,2025-09-02,59.8,4.96,6.5,0.02,,807.5
139,2023-07-09,119.3,4.74,7.56,0.52,11.205,646.25
114,2025-08-15,34.0,3.97,7.92,0.93,4.25,471.0
131,2024-11-17,98.4,8.71,6.94,1.03,13.190000000000001,689.0
105,2025-08-15,121.5,4.26,6.64,0.94,10.365,716.75
135,2024-07-16,135.2,,7.34,0.12,12.219999999999999,1043.0
123,2026-06-21,71.0,3.36,7.93,0.28,11.030000000000001,506.5
129,2025-04-11,128.6,5.56,6.48,0.36,11.09,764.5
143,2026-02-28,43.3,5.72,6.65,1.31,4.615,658.25
111,2024-10-08,131.6,,6.97,0.26,11.57,961.0
118,2023-01-21,45.3,4.14,6.79,0.19,11.825000000000001,556.25
147,2025-04-20,77.7,4.61,6.79,2.53,11.015,406.25
112,2023-06-16,125.7,4.4,6.15,0.01,13.655000000000001,791.25
109,2026-07-21,48.0,8.6,7.49,4.9,9.46,823.0
110,2024-01-23,57.5,4.97,7.37,0.9,6.465,685.75
144,2024-08-23,116.7,5.79,6.35,,11.185,826.75
117,2023-11-12,116.4,7.67,7.93,0.28,13.83,632.0
138,2023-01-14,106.9,3.69,8.04,0.01,8.155000000000001,592.25
107,2023-08-30,113.3,5.06,6.82,1.07,9.885,786.25
146,2025-02-15,95.1,4.6,7.78,1.44,8.965,523.75
113,2024-07-18,60.2,4.87,6.91,1.08,8.47,767.5
140,2025-06-16,71.5,4.73,7.29,0.12,13.415,551.75
142,2023-04-02,51.8,3.9,6.78,1.12,5.13,625.5
109,2025-08-13,139.0,5.29,8.31,1.17,13.100000000000001,564.5
127,2024-05-23,100.0,3.41,7.05,0.86,8.43,691.0
102,2025-02-14,78.1,6.48,7.26,1.16,13.674999999999999,517.25
105,2023-02-04,85.4,5.93,6.86,,7.180000000000001,365.5
129,2023-07-25,143.7,4.26,8.13,,12.415,940.25
137,2026-01-09,48.4,4.33,8.14,0.07,10.32,867.0
138,2025-10-22,100.3,5.41,8.02,0.53,,919.75
119,2025-10-18,90.7,3.8,,0.06,9.915,828.75
